trackID,transcripts
p304_409.wav, we are not too surprised
p286_307.wav, it was simply no contest
p286_170.wav, full back was a bit of the unknown
p302_063.wav, the quality of life is difficult for them
p283_449.wav, if we were offered the scotsman i would buy it
p279_376.wav, family liaison officers are now working to support the family
p283_056.wav, for the meantime though the signs are good
p279_295.wav, he should have won
p304_360.wav, it_s a drop in the bucket
p279_336.wav, the composer will conduct
p304_305.wav, i can_t say that this is very usual
p302_110.wav, i hope they understand that
p304_229.wav, but he insisted that victory was possible
p283_354.wav, my life is exactly the same
p274_429.wav, i never had a childhood
p237_188.wav, government will intervene
p229_330.wav, it could have gone either way
p274_281.wav, this will look at consumer attitudes
p277_406.wav, they recorded their debut album in new york
p277_441.wav, the shift in public perception about the disease is amazing
p277_090.wav, otherwise it will cost a lot of money
p277_299.wav, you are the glory
p277_197.wav, it was worth a photograph
p274_243.wav, i was released after six days
p283_024.wav, this is a very common type of bow one showing mainly red and yellow with little or no green or blue
p283_373.wav, but they have taken the lesson to heart
p277_316.wav, off with their heads
p283_128.wav, from it emerged a cup
